Copyright (C) 2024  Intel Corporation. All rights reserved.
Your use of Intel Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Intel Program License 
Subscription Agreement, the Intel Quartus Prime License Agreement,
the Intel FPGA IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Intel and sold by Intel or its authorized distributors.  Please
refer to the applicable agreement for further details, at
https://fpgasoftware.intel.com/eula.

Analysis & Synthesis Resource Utilization by Entity

Compilation Hierarchy Node,Combinational ALUTs,Dedicated Logic Registers,Block Memory Bits,DSP Blocks,Pins,Virtual Pins,Full Hierarchy Name,Entity Name,Library Name
         |sequence_shiftreg_out:sequence_shiftreg_out_inst|,9 (0),40 (0),0,0,0,0,|scrambler_mm|scrambler:scrambler_inst|sequence_generator:sequence_generator_inst|sequence_shiftreg_out:sequence_shiftreg_out_inst,sequence_shiftreg_out,work
            |lpm_shiftreg:LPM_SHIFTREG_component|,9 (9),40 (40),0,0,0,0,|scrambler_mm|scrambler:scrambler_inst|sequence_generator:sequence_generator_inst|sequence_shiftreg_out:sequence_shiftreg_out_inst|lpm_shiftreg:LPM_SHIFTREG_component,lpm_shiftreg,work
      |sequence_generator_switch:sequence_generator_switch_inst|,24 (24),19 (19),0,0,0,0,|scrambler_mm|scrambler:scrambler_inst|sequence_generator_switch:sequence_generator_switch_inst,sequence_generator_switch,work
      |sync_parser:sync_parser_current|,9 (9),5 (5),0,0,0,0,|scrambler_mm|scrambler:scrambler_inst|sync_parser:sync_parser_current,sync_parser,work
      |sync_parser:sync_parser_delayed|,7 (7),4 (4),0,0,0,0,|scrambler_mm|scrambler:scrambler_inst|sync_parser:sync_parser_delayed,sync_parser,work
   |sld_hub:auto_hub|,101 (1),86 (0),0,0,0,0,|scrambler_mm|sld_hub:auto_hub,sld_hub,altera_sld
      |alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|,100 (0),86 (0),0,0,0,0,|scrambler_mm|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric,alt_sld_fab_with_jtag_input,altera_sld
         |alt_sld_fab:instrumentation_fabric|,100 (0),86 (0),0,0,0,0,|scrambler_mm|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric,alt_sld_fab,alt_sld_fab
            |alt_sld_fab_alt_sld_fab:alt_sld_fab|,100 (1),86 (5),0,0,0,0,|scrambler_mm|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab,alt_sld_fab_alt_sld_fab,alt_sld_fab
               |alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|,99 (0),81 (0),0,0,0,0,|scrambler_mm|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric,alt_sld_fab_alt_sld_fab_sldfabric,alt_sld_fab
                  |sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|,99 (66),81 (53),0,0,0,0,|scrambler_mm|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub,sld_jtag_hub,work
                     |sld_rom_sr:hub_info_reg|,14 (14),9 (9),0,0,0,0,|scrambler_mm|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|sld_rom_sr:hub_info_reg,sld_rom_sr,work
                     |sld_shadow_jsm:shadow_jsm|,19 (19),19 (19),0,0,0,0,|scrambler_mm|sld_hub:auto_hub|alt_sld_fab_with_jtag_input:\instrumentation_fabric_with_node_gen:fabric_gen_new_way:with_jtag_input_gen:instrumentation_fabric|alt_sld_fab:instrumentation_fabric|alt_sld_fab_alt_sld_fab:alt_sld_fab|alt_sld_fab_alt_sld_fab_sldfabric:sldfabric|sld_jtag_hub:\jtag_hub_gen:real_sld_jtag_hub|sld_shadow_jsm:shadow_jsm,sld_shadow_jsm,altera_sld
